,backup_kusto_test,end_time,failover_kusto_test,loss,weights_multiquadratic,weights_linear,weights_cubic,max_log_rate,max_outstanding_io,response_time_90th_percentile,run_id,start_time,transactions_per_minute,volume_io_request_size_bytes
40,3.006283333,6/20/2019 2:22,"(0.0013950892857142857, 0.09943105651405787)",165716.5667,0.018642714,0.018556985,-1.07E-14,27189990,440,0.026,9315,6/20/2019 1:40,165716.5667,174000
41,3.000533333,6/20/2019 2:23,"(0.0, 0.21361065230733817)",196696.3333,-0.030768906,-0.021458642,-1.23E-13,108157660,410,0.02,9316,6/20/2019 1:40,196696.3333,385500
42,3.000283333,6/20/2019 2:43,"(0.0, 1.429152910918965)",117870.0102,0.085874243,0.086070665,-5.22E-14,37677910,665,0.019,9317,6/20/2019 2:01,206482.6333,485600
43,3.500016667,6/20/2019 3:00,"(0.0, 0.18724276098841533)",178455.3,0.037525104,0.037862692,1.87E-12,71980470,190,0.022,9318,6/20/2019 2:17,178455.3,358400
44,3.000016667,6/20/2019 9:41,"(0.0, 0.2458014058325185)",187464.5,0.028738515,0.028762094,-5.80E-14,59084960,970,0.021,9324,6/20/2019 8:59,187464.5,427900
45,3.99975,6/20/2019 9:48,"(0.0, 3.753706020817016)",0,0.212562771,0.212556667,-2.90E-13,39377090,210,0.019,9325,6/20/2019 9:05,205303.7333,332800
46,3.005716667,6/20/2019 10:02,"(0.0, 0.20241728604611642)",201570.9333,-7.14459E+15,-0.132037897,4.84E-14,104466740,735,0.019,9326,6/20/2019 9:19,201570.9333,383000
47,3.005716667,6/20/2019 10:02,"(0.0, 0.20241728604611642)",201570.9333,7.14459E+15,0.029324379,0,104466740,735,0.019,9326,6/20/2019 9:19,201570.9333,383000
48,3.000283333,6/20/2019 10:16,"(0.0, 0.10853644893586334)",166078.5675,0.005415656,0.005379267,1.85E-15,21699400,855,0.024,9327,6/20/2019 9:34,166078.5675,288600
49,3.0034,6/20/2019 12:09,"(0.0, 0.20816565824238784)",191211.7667,-0.013739324,-0.014451334,2.09E-12,71797590,710,0.02,9328,6/20/2019 11:27,191211.7667,310300
50,2.995583333,6/20/2019 12:20,"(0.0, 0.43296494536923474)",203535,-0.131884621,-0.131699828,-2.31E-13,120799970,655,0.019,9329,6/20/2019 11:38,203535,131500
51,3.000283333,6/20/2019 12:29,"(0.00018601190476190475, 0.11908585373108943)",178985.4667,-0.000671516,-0.00221328,7.78E-13,88989370,900,0.022,9330,6/20/2019 11:47,178985.4667,360200
52,3.009116667,6/20/2019 13:44,"(0.0013950892857142857, 0.5905568529640762)",189892.9,-0.059853667,-0.059923052,2.02E-14,52898970,900,0.021,9331,6/20/2019 13:02,189892.9,41000
53,2.500516667,6/20/2019 14:32,"(0.0, 0.20587524110512723)",187803.9,0.006409925,0.007087131,-2.35E-13,45787240,1005,0.021,9332,6/20/2019 13:50,187803.9,225700
54,3.000016667,6/20/2019 14:41,"(0.0, 0.24497464379126385)",202319.2004,-0.274430567,-0.120193921,4.47E-14,101581150,300,0.019,9333,6/20/2019 13:59,202319.2004,496200
55,2.502366667,6/20/2019 14:53,"(0.0, 0.08750492162472262)",151271.4,0.020357264,0.020447086,-1.35E-14,56689170,1025,0.029,9334,6/20/2019 14:11,151271.4,368100
56,3.511983333,6/20/2019 16:28,"(0.0, 0.4038911005280111)",203536.2667,-0.012207191,-0.012281574,-3.00E-14,67788970,175,0.019,9335,6/20/2019 15:46,203536.2667,266400
57,3.000283333,6/20/2019 16:51,"(0.0, 0.130556752551939)",190398.8,-0.177970543,-0.178095647,3.50E-13,38811220,315,0.02,9336,6/20/2019 16:08,190398.8,292600
58,4.002883333,6/20/2019 16:53,"(0.08203125, 0.36161883313112075)",201471.2049,-2.171529459,-2.17136103,8.32E-11,72820640,715,0.019,9337,6/20/2019 16:10,201471.2049,195100
59,3.000816667,6/20/2019 17:12,"(0.0, 0.10256700886444264)",176275.1333,-0.008994617,-0.009003722,1.34E-14,35471360,740,0.022,9338,6/20/2019 16:30,176275.1333,316700
60,3.000266667,6/20/2019 18:55,"(9.300595238095238e-05, 0.17742679857373728)",179279.4,-0.003075603,-0.003023997,-3.53E-15,23055170,790,0.022,9339,6/20/2019 18:12,179279.4,393300
61,3.000016667,6/20/2019 19:05,"(0.0013950892857142857, 0.18692499371902488)",201958.7667,-0.046895442,-0.043988671,-1.88E-12,116958370,435,0.019,9340,6/20/2019 18:23,201958.7667,377000
62,3.000016667,6/20/2019 19:16,"(0.0, 0.14069446204686487)",189257.9667,-0.880505848,-0.879895685,7.94E-12,117641870,860,0.021,9341,6/20/2019 18:34,189257.9667,79600
63,3.500016667,6/20/2019 19:40,"(0.0014291158536585366, 0.12465355067137115)",178194.0667,0.009823215,0.009669142,7.46E-14,70340780,105,0.022,9342,6/20/2019 18:58,178194.0667,144100
64,3.506533333,6/20/2019 21:18,"(0.0, 6.862391548178808)",0,0.221613517,0.235340506,-5.74E-14,100940600,45,0.019,9344,6/20/2019 20:35,205622.5667,125900
65,2.500283333,6/20/2019 21:17,"(0.0, 0.0994547364348354)",176285.6333,0.047501937,0.045047938,9.02E-13,116865300,125,0.024,9343,6/20/2019 20:35,176285.6333,216600
66,3.000266667,6/20/2019 21:37,"(9.527439024390244e-05, 0.12017620260072223)",188184.7667,-0.046507842,-0.046341629,1.68E-14,49230150,785,0.021,9345,6/20/2019 20:56,188184.7667,330700
67,3.000283333,6/20/2019 21:59,"(0.0, 0.1035105892569532)",158773.0333,-0.026110567,-0.025945627,3.52E-14,76863500,380,0.027,9346,6/20/2019 21:17,158773.0333,521100
68,3.000016667,6/20/2019 23:31,"(0.0, 0.2837477676339731)",202174.5333,0.001184106,0.001752647,-2.57E-13,120353290,430,0.019,9347,6/20/2019 22:48,202174.5333,238400
69,4.000283333,6/20/2019 23:43,"(0.0, 2.670720795648734)",0,-0.163239887,0.313849082,-2.12E-13,105314190,640,0.019,9348,6/20/2019 23:00,207973.8333,122500
70,3.000283333,6/21/2019 0:06,"(0.0, 1.088539233760206)",154310.0647,0.043238374,0.042680964,-6.65E-14,121634330,165,0.025,9349,6/20/2019 23:24,169299.7333,48600
71,3.500016667,6/21/2019 0:22,"(0.0, 0.11629792669998314)",176980.8667,-0.063028392,-0.063057206,-6.15E-14,38079030,400,0.022,9350,6/20/2019 23:39,176980.8667,388300
72,3.010433333,6/21/2019 1:41,"(0.0, 1.0833188691607931)",182818.5458,-0.009257637,-0.010339477,1.13E-14,94904070,520,0.019,9351,6/21/2019 0:59,199435.2667,26300
73,3.5,6/21/2019 2:01,"(0.0, 0.7022881134120538)",203843.5667,-0.03876126,-0.038220798,-2.04E-12,71637190,265,0.019,9352,6/21/2019 1:18,203843.5667,368000
